1,SAMI,10000
2,SARAH,11000
3,MARIYAH,15000
4,ALMAS,10000
5,AFSAR,20000
6,A,10000
7,B,11000
8,C,15000
9,D,10000
10,E,20000
11,F,10000
12,G,11000
13,H,15000
14,I,10000
15,J,20000
16,K,10000
17,L,11000
18,M,15000
19,N,10000
20,O,20000
21,P,10000
22,Q,11000
23,R,15000
24,S,10000
25,T,20000
26,U,10000
27,V,11000
28,W,15000
29,X,10000
30,Y,20000
31,Z,10000
32,AA,11000
33,BB,15000
34,CC,10000
35,DD,20000
36,EE,10000
37,FF,11000
38,GG,15000
39,HH,10000
40,II,20000
41,JJ,10000
42,KK,11000
43,LL,15000
44,MM,10000
45,NN,20000
46,OO,10000
47,PP,11000
48,QQ,15000
49,RR,10000
50,SS,20000
51,TT,10000
52,UU,11000
53,VV,15000
54,WW,10000
55,XX,20000
56,YY,10000
57,ZZ,11000
58,AAA,15000
59,BBB,10000
60,CCC,20000
61,DDD,10000
62,EEE,11000
63,FFF,15000
64,GGG,10000
65,HHH,20000
66,III,10000
67,JJJ,11000
68,KKK,15000
69,LLL,10000
70,MMM,20000
71,NNN,10000
72,OOO,11000
73,PPP,15000
74,QQQ,10000
75,RRR,20000
76,SSS,10000
77,TTT,11000
78,UUU,15000
79,VVV,10000
80,WWW,20000
81,XXX,10000
82,YYY,11000
83,ZZZ,15000
84,AAAA,10000
85,BBBB,20000
86,CCCC,10000
87,DDDD,11000
88,EEEE,15000
89,FFFF,10000
90,GGGG,20000
91,HHHH,10000
92,IIII,11000
93,JJJJ,15000
94,KKKK,10000
95,LLLL,20000
96,MMMM,10000
97,NNNN,11000
98,OOOO,15000
99,PPPP,10000
100,QQQQ,20000
